Source,State,Species,Cultivar,Fat,CP,Ash,ADF,NDF,NFC,DM,carb,cellulose,lignin,Growth Stage,lab,fy,Site,Sample,name,latitude,longitude,Sampling,Planting,Termination,Block,Zadoks
NY-MD-2015,NY,Triticale,TriMark099,2.75,17.42,8.35,28.01,51.21,24.53,,,,3.12,,,,Musgrave,,,,,5/11/2015,,,Blk1,37
NY-MD-2015,NY,Triticale,TriMark099,2.68,17.57,8.89,28.77,51.67,23.7,,,,3.19,,,,Musgrave,,,,,5/11/2015,,,Blk2,37
NY-MD-2015,NY,Triticale,TriMark099,2.67,17.63,9.79,30.6,54.29,20.44,,,,3.54,,,,Musgrave,,,,,5/11/2015,,,Blk3,37
NY-MD-2015,NY,Triticale,TriMark099,2.82,16.74,8.69,28.49,51.7,24.41,,,,3.25,,,,Musgrave,,,,,5/11/2015,,,Blk4,37
NY-MD-2015,NY,Barley,Verdant,2.95,13.89,8.6,27.09,44.08,34.43,,,,3.19,,,,Musgrave,,,,,5/15/2015,,,Blk1,37
NY-MD-2015,NY,Barley,Verdant,2.97,15.4,9.43,26.93,44.72,31.64,,,,2.78,,,,Musgrave,,,,,5/15/2015,,,Blk2,37
NY-MD-2015,NY,Barley,Verdant,2.87,13.32,8.87,28.33,45.82,33.02,,,,3.11,,,,Musgrave,,,,,5/15/2015,,,Blk3,37
NY-MD-2015,NY,Barley,Verdant,3,13.22,8.33,26.93,43.84,35.26,,,,3.2,,,,Musgrave,,,,,5/15/2015,,,Blk4,37
NY-MD-2015,NY,Barley,Valor,2.6,13.2,8.81,29.7,51.48,27.58,,,,4.14,,,,Musgrave,,,,,5/15/2015,,,Blk1,45
NY-MD-2015,NY,Barley,Valor,2.8,14.66,8.05,28.61,49.88,28.48,,,,3.7,,,,Musgrave,,,,,5/15/2015,,,Blk2,41
NY-MD-2015,NY,Barley,Valor,2.88,16.52,8.69,27.92,48.31,27.73,,,,3.53,,,,Musgrave,,,,,5/15/2015,,,Blk3,37
NY-MD-2015,NY,Barley,Valor,2.91,16.5,8.76,25.31,42.91,32.84,,,,3.61,,,,Musgrave,,,,,5/15/2015,,,Blk4,37
NY-MD-2015,NY,Barley,P919,2.69,11.35,7.56,30.88,53.13,28.68,,,,3.85,,,,Musgrave,,,,,5/15/2015,,,Blk1,55
NY-MD-2015,NY,Barley,P919,3,13.52,7.42,25.7,44.49,34.74,,,,3.18,,,,Musgrave,,,,,5/15/2015,,,Blk2,45
NY-MD-2015,NY,Barley,P919,2.7,14.09,8.13,27.44,47.84,30.74,,,,3.47,,,,Musgrave,,,,,5/15/2015,,,Blk3,45
NY-MD-2015,NY,Barley,P919,2.9,12.36,7.43,26.24,44.75,35.62,,,,3.53,,,,Musgrave,,,,,5/15/2015,,,Blk4,45
NY-MD-2015,NY,Barley,Thoroughbred,3.03,14.26,8.51,28.07,48.58,29.45,,,,3.49,,,,Musgrave,,,,,5/15/2015,,,Blk1,41
NY-MD-2015,NY,Barley,Thoroughbred,3,12.42,7.98,28.44,48.7,31.39,,,,3.49,,,,Musgrave,,,,,5/15/2015,,,Blk2,41
NY-MD-2015,NY,Barley,Thoroughbred,3.28,17.49,7.49,27.25,47.3,28.92,,,,3.32,,,,Musgrave,,,,,5/15/2015,,,Blk3,41
NY-MD-2015,NY,Barley,Thoroughbred,3.24,16.17,6.29,25.28,43.36,34.86,,,,3.28,,,,Musgrave,,,,,5/15/2015,,,Blk4,41
NY-MD-2015,NY,Cereal rye,Huron,2.98,12.34,8.28,35.72,62.04,18.88,,,,4.73,,,,Musgrave,,,,,5/15/2015,,,Blk1,50
NY-MD-2015,NY,Cereal rye,Huron,2.93,12.42,8.47,34.37,60.44,20.07,,,,4.56,,,,Musgrave,,,,,5/15/2015,,,Blk2,45
NY-MD-2015,NY,Cereal rye,Huron,2.64,13.38,8.66,35.01,60.82,18.87,,,,4.58,,,,Musgrave,,,,,5/15/2015,,,Blk3,47
NY-MD-2015,NY,Cereal rye,Huron,2.99,12.97,7.94,32.16,56.88,23.31,,,,4.09,,,,Musgrave,,,,,5/15/2015,,,Blk4,45
