Account#,Sample#,Date_Processed,Sampled_By,Sampled_For,Description1,Product_Type,Test_Mode,Moisture,Dry_Matter,pH,CP,AD-ICP,ND-ICP_w/oNa2SO3,ND-ICP_w/Na2SO3,SP%CP,ADF,aNDF,aNDFom,Lignin,uNDFom48,NDFD48,uNDFom240,NDFD240,WSC(Sugar),ESC(Sugar),Starch,EE(Fat),TFA(Fat),Ash,Ca,P,Mg,K,S,Adj_CP,NFC,TDN_ADF,NEL3x_ADF,NEG_ADF,NEM_ADF,TDN_OARDC,NEL3x_OARDC,NEG_OARDC,NEM_OARDC,TDN_Milk2013,NEL3x_Milk2013,NEM_Milk2013,NEG_Milk2013,Milk/Ton_Milk2013,RFV,RFQ
7592,00116060046572,6/23/2016,Cornell University,MUSGRAVE 854,R1 Date7 Blk2,7,N9,8.01,91.99,5.39,8.43,0.57,1.35,1.79,36.18,47.33,73.86,70.89,6.85,35.03,50.59,21.71,69.38,8.61,1.77,0.42,2.2,0.86,8.7,0.22,0.33,0.14,2.9,0.12,8.43,11.91,61.54,63.08,21.55,46.54,51.01,51.35,20.51,45.43,42.63,55.21,32.47,8.3,2273,65.34,57.68
7592,00116060046573,6/23/2016,Cornell University,MUSGRAVE 855,R1 Date7 Blk3,7,N9,8.06,91.94,5.48,8.5,0.54,1.36,1.76,34.94,47.19,73.49,70.97,6.81,33.99,52.11,22.4,68.44,8.87,1.76,0.49,2.11,0.81,8.18,0.2,0.32,0.13,2.95,0.12,8.5,12.3,61.59,63.13,21.71,46.72,51.53,51.93,21.28,46.26,43.86,56.11,34.45,10.18,2345,65.88,61.75
7592,00116060046574,6/23/2016,Cornell University,MUSGRAVE 856,R1 Date7 Blk4,7,N9,7.59,92.41,5.28,7.48,0.53,1.2,1.71,34.36,46.57,74.77,71.89,6.59,34.97,51.36,21.57,70,8.94,4.54,0.45,2.27,0.97,8.24,0.19,0.29,0.14,2.58,0.11,7.48,12.13,61.77,63.34,20.87,45.81,51.72,52.14,21.09,46.05,43.08,55.68,32.73,8.55,2310,65.27,58.55
7592,00116060046575,6/23/2016,Cornell University,MUSGRAVE 857,R1 Date8 Blk1,7,N9,7.98,92.02,5.29,6.48,0.48,1.04,1.51,26.23,48.57,74.32,72.1,7.54,37.02,48.65,25.31,64.9,10.93,5.76,0.61,1.95,0.92,7.5,0.16,0.28,0.11,2.54,0.09,6.48,13.51,61.16,62.65,20.7,45.63,50.82,51.14,19.38,44.22,42.01,55.76,30.54,6.46,2289,63.73,54.86
7592,00116060046576,6/23/2016,Cornell University,MUSGRAVE 858,R1 Date8 Blk2,7,N9,7.89,92.11,5.26,5.96,0.44,0.95,1.48,22.65,48.77,75.77,73.49,7.32,37.07,49.56,24.95,66.05,10.98,4.65,0.62,1.99,0.97,7.54,0.14,0.27,0.11,2.54,0.09,5.96,12.52,61.09,62.58,19.94,44.81,50.79,51.11,19.12,43.94,41.76,55.31,29.87,5.82,2269,62.35,54.46
7592,00116060046577,6/23/2016,Cornell University,MUSGRAVE 859,R1 Date8 Blk3,7,N9,7.83,92.17,5.61,8.89,0.59,1.42,1.82,34.31,46.27,71.81,68.99,6.88,34.09,50.59,21.7,68.55,8.48,3.83,0.14,2.07,0.9,8.84,0.24,0.32,0.14,2.96,0.14,8.89,13.2,61.86,63.44,22.53,47.6,51.43,51.82,21.31,46.29,43.62,56.07,34.27,10.01,2328,68.43,60.71
7592,00116060046578,6/23/2016,Cornell University,MUSGRAVE 860,R1 Date8 Blk4,7,N9,7.95,92.05,5.31,5.4,0.42,0.86,1.49,17.22,48.57,75.22,72.83,7.25,36.69,49.62,24.09,66.92,11.68,5.62,0.84,2.05,0.98,7.68,0.14,0.26,0.11,2.37,0.08,5.4,13.6,61.16,62.65,19.95,44.83,50.99,51.33,19.14,43.96,42.08,55.54,30.12,6.06,2284,63.33,55.49
7592,00116060046579,6/23/2016,Cornell University,MUSGRAVE 861,R2 Date1 Blk1,7,N9,9.05,90.95,6.78,19.89,0.62,3.18,3.09,36.2,21.36,39.52,38.41,2.92,10.65,72.27,8.06,79.02,14.14,8.57,5.98,3.24,2.12,7.39,0.47,0.4,0.28,3.13,0.25,19.89,34.28,69.56,72.01,39.02,65.62,70.07,72.58,50.1,78.07,70.34,78.5,78.14,50.16,3957,170.29,213.3
7592,00116060046580,6/23/2016,Cornell University,MUSGRAVE 862,R2 Date1 Blk2,7,N9,9.06,90.94,6.89,21.43,0.67,3.43,3.48,34.39,19.91,36.64,35.61,2.93,11.65,67.28,8.63,75.77,14.12,9.32,6.08,3.32,2.28,7.69,0.53,0.4,0.31,3.05,0.26,21.43,35.47,70.01,72.51,40.69,67.48,70.84,73.44,51.6,79.78,70.13,79.13,78.51,50.48,3961,186.6,216.5
7592,00116060046581,6/23/2016,Cornell University,MUSGRAVE 863,R2 Date1 Blk3,7,N9,9.01,90.99,6.45,16.63,0.53,2.66,2.4,38,21.98,38.56,37.48,3.28,12.65,66.25,9.15,75.59,15.24,8.14,6.35,3.34,2.21,6.92,0.47,0.35,0.27,2.78,0.22,16.63,38.16,69.37,71.8,38.35,64.88,70.16,72.68,48.97,76.79,69.46,78.86,75.59,47.91,3935,173.05,203.39
